,FLIPPABLE,MLSNUM,SOLDPRICE,DOM,ZIP,BEDS,BATHS,SQFT,AGE,LOTSIZE,GARAGE,PROPTYPE_CAT,STYLE_CAT,ZIP_CAT,SOLDDATE_CAT,IMAGES
3,True,71485790,160000.0,1140,1746.0,3,1.5,1350,58,17860.0,0,0,6,71,736215,4
12,True,71756210,299900.0,844,1741.0,2,2.0,885,68,108900.0,1,0,6,293,736221,3
17,True,71772356,145000.0,476,2747.0,3,1.0,864,67,6485.0,1,0,6,172,736181,1
20,True,71778351,210000.0,439,1904.0,3,2.0,1305,168,4308.0,0,0,1,245,736165,5
29,True,71796597,350000.0,479,1609.0,3,2.5,2700,90,14005.0,2,0,28,307,736146,1
76,True,71862321,145000.0,240,2769.0,3,1.0,1040,48,99204.0,0,0,6,194,736153,3
126,True,71896675,550000.0,0,2324.0,3,2.5,2200,2,132634.0,2,0,3,196,736173,3
142,True,71903528,195000.0,321,2375.0,2,1.5,1428,22,8159.0,0,0,3,200,736173,3
167,True,71909963,258000.0,242,2081.0,3,1.5,1128,59,20100.0,0,0,6,42,736186,3
178,True,71912194,625000.0,33,2451.0,3,1.5,2811,68,18412.0,3,0,6,61,736234,1
186,True,71914368,149000.0,16,2571.0,3,2.0,2144,32,12169.0,0,0,3,146,736229,7
191,True,71915645,262000.0,170,1775.0,4,2.5,1954,50,40075.0,2,0,26,93,736181,3
221,True,71921111,260000.0,226,2360.0,2,2.0,2542,56,9148.0,0,0,6,236,736200,4
224,True,71921231,57000.0,285,1331.0,4,1.5,2058,118,14700.0,0,0,3,386,736227,4
230,True,71921589,215000.0,30,1913.0,3,3.0,1295,46,0.86,0,0,43,271,736174,7
258,True,71927190,558075.0,26,2056.0,4,2.5,2408,2,42566.0,2,0,3,49,736172,4
273,True,71930621,146475.0,189,2368.0,3,1.5,1605,58,12000.0,1,0,6,207,736174,3
301,True,71934450,61605.0,242,2719.0,3,1.0,1148,88,3415.0,1,0,3,167,736213,7
365,True,71942372,135000.0,169,1583.0,3,1.0,1536,62,10198.0,2,0,6,318,736174,3
390,True,71944187,200000.0,334,1778.0,2,1.0,1017,98,11000.0,0,0,6,76,736146,3
399,True,71945005,130000.0,97,2302.0,3,1.0,960,59,13416.0,0,0,6,202,736255,1
439,True,71950916,127600.0,99,2909.0,3,2.0,960,45,3300.0,0,0,6,562,736233,3
447,True,71952705,110000.0,167,2766.0,2,1.0,877,68,7166.0,0,0,2,187,736156,2
467,True,71956089,251000.0,61,1904.0,2,2.0,1736,94,6000.0,1,0,2,245,736153,5
472,True,71956963,12000000.0,14,2116.0,5,6.0,7575,127,2688.0,2,0,15,17,736216,3
477,True,71957683,210000.0,174,1887.0,3,1.0,1200,58,20000.0,0,0,6,238,736202,3
489,True,71960732,155600.0,127,2302.0,3,1.0,1194,58,9801.0,0,0,6,202,736179,4
495,True,71961411,733500.0,33,2062.0,4,2.5,2610,2,10163.0,2,0,3,40,736174,2
497,True,71961949,224974.0,10,1905.0,3,2.0,1296,103,5144.0,0,0,3,247,736145,5
505,True,71963351,115000.0,280,2532.0,4,1.5,2049,295,70132.0,1,0,51,113,736237,3
508,True,71964045,220000.0,74,1887.0,2,1.0,1281,73,9000.0,2,0,32,238,736160,4
509,True,71964138,129000.0,156,1529.0,4,1.0,1440,79,23943.0,2,0,3,353,736198,3
515,True,71964895,95000.0,39,2702.0,3,2.5,2059,33,137650.0,2,0,12,182,736223,1
521,True,71965647,470000.0,112,2025.0,3,2.0,1550,118,8017.0,1,0,46,220,736146,2
525,True,71966457,240000.0,131,1450.0,2,1.5,1814,58,42614.0,2,0,1,374,736235,5
526,True,71966474,44000.0,152,2723.0,3,1.0,1115,88,3226.0,0,0,2,178,736214,4
529,True,71966913,166000.0,106,2368.0,3,1.0,0,118,0.0,0,0,5,207,736241,2
538,True,71968456,40095.0,169,1440.0,3,1.0,1530,118,6366.0,0,0,37,380,736237,4
543,True,71969376,152500.0,121,2771.0,3,2.5,1176,118,17860.0,1,0,0,98,736174,3
567,True,71973697,93000.0,139,1005.0,3,1.0,960,26,16624.0,0,0,6,324,736186,3
587,True,71975704,120000.0,114,2302.0,3,1.5,1660,53,7187.0,0,0,7,202,736248,6
589,True,71975762,60000.0,134,2302.0,2,1.0,1080,98,7187.0,0,0,3,202,736236,3
595,True,71976779,251500.0,27,2072.0,3,2.0,2012,46,15245.0,0,0,7,209,736243,4
603,True,71978041,477500.0,66,1950.0,3,2.0,1520,208,2300.0,0,0,14,269,736174,8
607,True,71979739,210000.0,135,1960.0,3,1.0,1600,61,10001.0,0,0,6,250,736236,3
620,True,71980898,145000.0,43,1749.0,3,1.0,1009,128,7800.0,0,0,2,73,736186,7
638,True,71982749,81000.0,19,2740.0,3,1.0,1261,95,2913.0,0,0,1,168,736180,1
640,True,71982816,522450.0,86,1827.0,4,2.5,3346,32,94787.0,2,0,3,297,736158,3
641,True,71985215,300000.0,89,1550.0,3,2.5,1536,38,375022.0,1,0,6,342,736204,3
648,True,71983687,340000.0,90,1776.0,3,1.0,1350,91,10890.0,1,0,1,75,736153,4
674,True,71987387,456000.0,78,1810.0,4,2.5,2150,49,10440.0,1,0,7,280,736172,1
684,True,71989411,330000.0,73,2180.0,3,2.0,1942,168,15178.0,1,0,14,241,736146,7
685,True,71989620,276000.0,7,2050.0,4,2.0,1812,59,5435.0,0,0,3,230,736145,3
689,True,71990125,340000.0,31,2151.0,3,2.5,1857,68,5466.0,0,0,1,31,736186,3
692,True,71990620,105000.0,138,2724.0,3,1.5,1228,90,7289.0,0,0,0,177,736249,3
694,True,71990995,335000.0,6,2045.0,3,2.0,1302,66,4070.0,0,0,1,218,736145,3
695,True,71991052,272000.0,112,1852.0,4,2.0,3098,118,5983.0,1,0,3,289,736215,3
702,True,71992159,461000.0,23,1904.0,3,3.0,2040,56,5700.0,0,0,3,245,736150,7
704,True,71992280,510000.0,103,2132.0,3,1.0,1750,84,5969.0,2,0,3,9,736220,6
706,True,71992594,479900.0,96,1810.0,3,1.5,1532,70,10534.0,1,0,3,280,736215,4
714,True,71993372,175000.0,8,1501.0,3,1.5,1710,96,31313.0,2,0,3,364,736248,2
715,True,71993446,682000.0,20,2176.0,4,1.5,2216,79,6624.0,1,0,3,242,736156,3
716,True,71993543,460000.0,269,3865.0,3,2.5,2800,19,1089000.0,3,0,6,543,736230,6
720,True,71994265,205000.0,115,2048.0,2,1.0,1332,52,30000.0,1,0,6,37,736223,7
724,True,71994508,162000.0,38,2359.0,3,1.0,1555,48,10002.0,0,0,6,229,736167,3
727,True,71995177,400000.0,107,2472.0,3,1.0,1269,89,4500.0,0,0,3,63,736227,2
729,True,71995873,160000.0,103,1520.0,3,1.5,1414,78,36590.0,0,0,1,321,736220,4
737,True,71997060,397500.0,56,2066.0,4,1.5,1170,93,3877.0,0,0,54,221,736167,4
738,True,71997216,148000.0,28,1844.0,3,1.5,1177,126,2232.0,0,0,3,284,736170,5
740,True,71997783,157500.0,4,1463.0,2,1.0,1056,64,24150.0,0,0,6,375,736172,3
741,True,71998016,368500.0,97,1757.0,4,2.5,2208,4,12298.0,0,0,3,357,736221,3
743,True,71998186,340000.0,132,2151.0,2,1.0,1027,89,3124.0,0,0,62,31,736216,3
745,True,71998281,540000.0,93,1970.0,4,2.5,1965,2,25413.0,2,0,1,251,736230,8
746,True,71998358,215000.0,509,2360.0,3,1.5,1632,21,137177.0,0,0,3,236,736177,3
747,True,71998506,475000.0,52,2050.0,2,2.0,1700,16,90039.0,0,0,6,230,736159,4
752,True,71998993,299900.0,55,2151.0,2,1.0,1100,59,5000.0,0,0,6,31,736223,2
754,True,71999170,535000.0,57,1810.0,2,1.5,1722,62,72091.0,1,0,1,280,736188,3
755,True,71999476,271000.0,17,1887.0,3,1.0,1120,111,10600.0,0,0,3,238,736173,4
756,True,71999477,175000.0,101,2910.0,3,1.5,1330,98,5000.0,0,0,3,577,736188,4
758,True,71999633,140000.0,82,2766.0,3,1.0,963,68,6403.0,0,0,62,187,736170,1
764,True,72000625,45000.0,17,1440.0,4,2.0,1076,98,12500.0,0,0,62,380,736186,3
767,True,72001074,3100000.0,97,2467.0,5,4.5,7400,93,27191.0,3,0,3,20,736202,3
769,True,72001376,90000.0,87,1876.0,2,1.0,1060,88,3868.0,0,0,6,290,736205,4
770,True,72001457,174900.0,16,2644.0,3,1.0,1084,44,20473.0,1,0,6,142,736243,3
772,True,72001569,232000.0,23,1754.0,4,2.5,1784,53,17100.0,2,0,6,92,736243,3
774,True,72001628,125100.0,221,2359.0,3,1.0,860,65,12660.0,0,0,6,229,736223,7
775,True,72001637,195000.0,58,2038.0,4,2.0,1382,56,15912.0,0,0,1,46,736151,6
791,True,72003576,155000.0,31,2777.0,3,1.0,1204,55,108028.0,1,0,6,186,736240,2
795,True,72004242,106000.0,44,1540.0,2,1.0,1148,63,14810.0,1,0,6,345,736192,5
796,True,72004256,729000.0,41,2045.0,3,2.5,2550,3,7400.0,0,0,3,218,736145,3
802,True,72004765,206000.0,0,2151.0,3,2.0,1308,78,4800.0,1,0,60,31,736195,1
805,True,72005475,157600.0,70,2648.0,3,2.0,1152,27,25265.0,0,0,1,100,736223,3
808,True,72005880,207500.0,52,2054.0,3,1.0,2088,86,10019.0,1,0,1,48,736174,3
814,True,72006258,440000.0,53,2176.0,4,1.5,2049,98,7296.0,0,0,3,242,736170,3
815,True,72006462,255000.0,36,2740.0,4,1.5,2116,110,3992.0,0,0,3,168,736156,6
819,True,72006786,565000.0,21,2176.0,3,2.0,1832,118,5678.0,1,0,26,242,736159,3
825,True,72008084,235000.0,13,1701.0,3,2.0,1428,91,5502.0,0,0,2,70,736251,2
826,True,72008215,359900.0,24,1852.0,5,2.5,3056,118,6794.0,1,0,3,289,736166,5
835,True,72009052,171500.0,75,2360.0,3,1.5,1428,27,42210.0,1,0,1,236,736233,5
845,True,72010434,125000.0,47,2302.0,2,1.0,1326,138,8146.0,1,0,3,202,736206,3
850,True,72011410,155000.0,17,1431.0,4,2.0,2834,193,436036.0,2,0,37,378,736193,3
858,True,72013118,580000.0,67,1742.0,4,1.5,1920,67,41071.0,0,0,12,88,736179,3
869,True,72014176,359900.0,21,1970.0,4,2.0,2044,103,8679.0,0,0,3,251,736165,7
871,True,72014263,405000.0,29,2184.0,3,2.5,2542,35,13815.0,0,0,3,214,736166,3
872,True,72014276,1410000.0,8,2446.0,7,2.0,2555,118,4744.0,0,0,3,22,736152,4
873,True,72014687,348000.0,35,2093.0,3,2.0,1993,40,34979.0,2,0,26,50,736206,3
876,True,72015031,811000.0,9,1915.0,5,2.5,3101,136,25440.0,0,0,15,254,736177,3
877,True,72015060,90000.0,126,2019.0,3,1.0,876,78,10018.0,0,0,6,45,736157,3
878,True,72015063,750000.0,49,2130.0,2,2.0,1497,143,2336.0,0,0,168,4,736173,2
880,True,72015467,755000.0,44,2332.0,3,3.0,2330,65,30056.0,2,0,1,232,736173,3
883,True,72015863,105000.0,39,1420.0,3,1.0,1560,60,34937.0,0,0,6,369,736166,5
889,True,72016607,550000.0,15,1923.0,4,3.0,3153,37,20000.0,2,0,25,255,736166,3
893,True,72017118,208000.0,42,2359.0,3,1.0,1836,57,25480.0,0,0,43,229,736179,1
894,True,72017265,465000.0,5,2474.0,3,1.0,1519,90,4577.0,1,0,3,65,736164,2
900,True,72018591,665000.0,64,1505.0,4,3.0,3433,11,48276.0,3,0,3,310,736205,3
907,True,72019254,365000.0,47,2052.0,3,2.5,2126,56,22261.0,1,0,7,38,736170,6
909,True,72019725,120000.0,54,2360.0,3,2.5,2056,43,13050.0,2,0,33,236,736188,2
911,True,72020371,101500.0,22,2908.0,3,1.5,883,91,2270.0,0,0,29,563,736202,6
912,True,72020744,424000.0,42,1821.0,3,1.0,1444,88,43560.0,2,0,60,292,736186,2
918,True,72021756,185000.0,12,2301.0,4,1.5,2060,93,6926.0,1,0,3,201,736178,2
921,True,72022254,325000.0,1,2719.0,3,1.5,900,68,6000.0,0,0,1,167,736145,5
922,True,72023121,250000.0,50,2322.0,5,2.5,3244,108,15743.0,1,0,3,208,736220,4
929,True,72023985,155500.0,56,2740.0,4,2.0,2331,93,4318.0,0,0,3,168,736223,4
930,True,72024056,855000.0,42,2144.0,4,2.0,1692,118,3750.0,0,0,37,30,736227,1
931,True,72024060,250000.0,3,2150.0,3,2.5,1176,58,4662.0,0,0,1,33,736167,4
933,True,72024325,190000.0,15,1830.0,4,1.0,1428,118,7200.0,0,0,3,274,736188,3
935,True,72024395,90000.0,13,2571.0,2,2.0,768,88,4000.0,0,0,2,146,736177,1
936,True,72024424,295000.0,29,1564.0,3,2.0,1612,14,191664.0,2,0,6,319,736171,2
940,True,72024937,141645.0,47,2019.0,3,1.0,948,90,17037.0,0,0,31,45,736213,3
941,True,72024972,235000.0,21,2631.0,3,1.0,1655,51,17100.0,1,0,7,118,736153,4
942,True,72025221,350000.0,23,2777.0,3,1.5,2114,47,30492.0,2,0,6,186,736170,6
945,True,72025434,158500.0,26,2780.0,3,1.5,1503,40,30928.0,0,0,1,190,736216,4
948,True,72025663,135000.0,72,1605.0,3,1.5,1350,90,12942.0,1,0,3,300,736216,4
950,True,72025740,265000.0,29,1532.0,3,2.5,2097,39,40872.0,2,0,52,313,736179,6
951,True,72025800,260000.0,35,2379.0,3,1.0,1454,51,30056.0,0,0,162,198,736195,4
952,True,72025840,270555.0,26,1821.0,5,2.0,2055,68,7500.0,0,0,3,292,736195,1
956,True,72026466,345000.0,43,2052.0,3,1.0,1428,61,36000.0,1,0,1,38,736206,2
960,True,72027812,456000.0,42,1752.0,4,3.0,2666,18,27993.0,2,0,3,312,736205,3
963,True,72028105,400000.0,21,1960.0,4,2.0,1506,58,17028.0,1,0,43,250,736177,5
965,True,72028372,281253.0,12,1982.0,3,1.0,1154,64,10000.0,1,0,6,259,736209,4
979,True,72030328,438000.0,8,2472.0,3,1.0,1248,58,7955.0,2,0,6,63,736181,3
986,True,72030672,865000.0,35,1960.0,11,7.0,7036,99,76666.0,7,0,1101,250,736244,4
988,True,72030923,282500.0,199,2360.0,6,4.0,4426,39,20000.0,0,0,3,236,736179,4
989,True,72031079,164000.0,41,2767.0,3,1.5,1796,147,63175.0,2,0,3,188,736207,7
990,True,72031091,190000.0,2,1453.0,3,1.5,1260,57,12000.0,1,0,57,368,736194,7
992,True,72031375,223000.0,22,1915.0,3,1.5,1116,108,6720.0,4,0,3,254,736214,3
995,True,72031665,63500.0,201,1570.0,2,1.0,1257,98,4835.0,0,0,1,347,736207,1
997,True,72031848,2000000.0,739,2655.0,4,3.5,3300,32,66647.0,2,0,1,104,736207,4
1005,True,72033454,305000.0,49,1845.0,3,1.0,1125,55,47045.0,1,0,7,279,736216,6
1007,True,72033491,330500.0,8,1984.0,3,1.5,1393,118,7841.0,2,0,3,258,736188,4
1008,True,72033768,437000.0,21,1450.0,4,3.5,2989,28,85663.0,2,0,3,374,736196,4
1011,True,72034018,500000.0,11,2043.0,3,1.5,1503,73,34510.0,2,0,1,219,736194,2
1012,True,72034253,365100.0,14,2155.0,3,1.0,1580,103,9780.0,0,0,3,28,736205,3
1017,True,72035315,369900.0,21,1876.0,3,1.0,1794,67,10000.0,0,0,1,290,736195,9
1021,True,72035962,59850.0,55,2343.0,4,1.5,1218,168,9150.0,0,0,0,206,736243,1
1022,True,72035987,339900.0,23,1887.0,4,1.0,1734,65,10000.0,0,0,1,238,736188,1
1028,True,72037181,430000.0,16,1801.0,3,2.0,1344,43,16934.0,1,0,6,237,736230,3
1030,True,72037309,421675.0,35,1534.0,4,2.5,3054,29,59166.0,2,0,3,350,736233,6
1035,True,72037944,222500.0,223,2745.0,5,2.0,1538,46,9924.0,0,0,1,170,736237,6
1038,True,72038338,580000.0,5,2461.0,4,2.5,1912,138,7335.0,1,0,66,60,736181,4
1053,True,72040009,380000.0,28,2346.0,3,2.5,2694,34,97860.0,2,0,26,195,736248,3
1056,True,72040682,370000.0,51,1951.0,2,2.0,1848,78,6098.0,0,0,12,266,736244,4
1060,True,72041292,490000.0,9,2324.0,3,2.5,2700,22,45651.0,2,0,55,196,736216,4
1067,True,72042490,165000.0,26,2726.0,4,1.5,1600,98,7841.0,1,0,3,185,736206,4
1068,True,72042514,184999.0,19,1604.0,2,1.5,1080,31,4823.0,0,0,3,303,736237,3
1076,True,72043759,287000.0,15,2188.0,4,1.0,1351,75,10106.0,1,0,1,211,736236,3
1086,True,72044646,420000.0,33,1944.0,3,2.0,2832,48,25200.0,2,0,12,260,736228,3
1087,True,72044736,158000.0,19,2370.0,3,1.0,864,60,9365.0,0,0,6,204,736215,1
1090,True,72045693,200000.0,16,1887.0,1,1.0,1053,58,45738.0,1,0,6,238,736216,3
1099,True,72046898,103000.0,24,1524.0,3,1.0,1558,60,17500.0,1,0,6,330,736236,7
1102,True,72047568,547000.0,36,1834.0,3,2.5,2560,5,36046.0,2,0,3,276,736236,7
1104,True,72047963,336000.0,2,2053.0,3,2.0,1184,48,44170.0,1,0,43,47,736187,1
1105,True,72048156,539900.0,23,1864.0,4,3.0,2144,59,17424.0,0,0,3,239,736237,4
1107,True,72048334,369900.0,12,1950.0,1,1.0,970,108,6534.0,0,0,29,269,736229,3
1110,True,72048714,186000.0,7,1331.0,3,2.0,1290,18,13113.0,2,0,6,386,736216,3
1112,True,72048990,350000.0,4,2155.0,4,1.5,1536,58,3200.0,0,0,3,28,736223,1
1120,True,72049753,136500.0,22,2346.0,3,1.5,1968,64,10454.0,2,0,1,195,736226,4
1127,True,72050495,422500.0,3,1527.0,4,2.5,2563,18,13143.0,2,0,3,363,736227,2
1128,True,72050607,310000.0,116,1949.0,4,3.5,3762,16,67002.0,2,0,3,256,736244,6
1130,True,72051072,323000.0,14,1830.0,3,1.5,1324,98,7245.0,0,0,3,274,736244,4
1133,True,72051515,335000.0,18,1568.0,2,1.0,1408,42,167251.0,1,0,6,358,736243,2
1134,True,72051984,180000.0,27,1545.0,2,1.5,1088,91,7433.0,0,0,2,317,736243,3
1140,True,72052743,375000.0,25,1880.0,3,1.5,2186,61,19500.0,0,0,6,243,736244,3
1141,True,72052746,215000.0,41,1854.0,4,2.0,1867,29,7000.0,0,0,3,287,736251,6
1146,True,72053137,303000.0,22,2170.0,3,1.0,1188,98,3931.0,0,0,2,217,736221,2
1149,True,72053648,240000.0,6,1913.0,3,1.0,1773,108,22050.0,2,0,85,271,736255,2
1153,True,72053999,186500.0,18,2673.0,2,1.0,1264,53,20037.0,0,0,6,153,736209,1
1154,True,72054115,161700.0,30,1830.0,3,1.5,1843,118,10050.0,0,0,3,274,736237,3
1155,True,72054288,175000.0,4,1752.0,2,1.0,972,55,10018.0,0,0,7,312,736222,4
1169,True,72055543,290000.0,24,1887.0,2,1.0,1572,73,28939.0,2,0,3,238,736235,4
1174,True,72056074,125000.0,2,2324.0,1,1.0,680,118,14593.0,1,0,62,196,736234,2
1178,True,72056519,175500.0,17,1583.0,4,1.0,1152,70,15000.0,0,0,1,318,736237,3
1185,True,72057259,360000.0,6,1867.0,4,1.5,1377,68,12348.0,2,0,1,240,736228,3
1186,True,72057409,320000.0,7,1701.0,3,2.5,1152,58,20590.0,2,0,43,70,736243,7
1189,True,72057751,579000.0,7,2474.0,3,1.0,1752,60,6141.0,0,0,6,65,736235,4
1192,True,72058995,265000.0,16,3087.0,2,1.0,1102,67,50093.0,1,0,2,552,736250,1
1196,True,72060195,175000.0,10,2767.0,4,2.0,2136,55,47058.0,2,0,1,188,736243,4
1206,True,72062586,275000.0,18,2148.0,2,1.0,649,68,1393.0,0,0,6,27,736251,1
1211,True,72063205,236000.0,7,1970.0,3,1.0,1479,98,9600.0,2,0,3,251,736236,3
1216,True,72064077,230000.0,28,2673.0,3,1.0,1128,56,11325.0,1,0,6,153,736251,2
1218,True,72064398,134000.0,13,2302.0,3,1.0,864,58,10062.0,1,0,6,202,736237,2
1220,True,72064730,160000.0,10,1821.0,1,1.0,982,98,5390.0,1,0,29,292,736255,1
1225,True,72065443,409000.0,22,2186.0,3,1.0,1168,88,5000.0,1,0,3,39,736251,3
1227,True,72066258,840000.0,7,2467.0,3,2.5,2412,100,9675.0,2,0,28,20,736244,9
9253,False,71830645,1735000.0,320,,5,3.5,4820,128,,2,0,561,83,736208,3
9256,False,71906518,390000.0,346,,3,1.5,924,80,,0,0,223,650,736208,6
9257,False,71906907,750000.0,256,,4,2.5,2600,3,,2,0,3,266,736208,3
9258,False,71913459,842000.0,304,,5,5.0,4391,21,,2,0,3,165,736208,5
9259,False,71916329,125000.0,298,,3,1.0,1073,118,,0,0,3,190,736208,1
9261,False,71930746,559000.0,273,,4,2.5,2823,35,,2,0,3,49,736208,3
9262,False,71943009,1639900.0,119,,4,4.5,4200,2,,3,0,3,76,736208,3
9263,False,71945049,167500.0,183,,2,1.0,777,76,,0,0,2,336,736208,4
9264,False,71945431,58000.0,180,,2,1.0,1158,63,,1,0,2,333,736208,4
9266,False,71948041,441000.0,132,,4,2.5,2472,2,,2,0,3,370,736208,3
9268,False,71957904,2250000.0,13,,5,5.0,6909,23,,3,0,3,88,736208,3
9271,False,71960148,620000.0,160,,4,4.5,4736,17,,3,0,3,365,736208,3
9272,False,71960853,600000.0,172,,4,3.5,3121,20,,2,0,3,374,736208,7
9275,False,71965707,557500.0,141,,3,2.5,1492,98,,1,0,3,221,736208,4
9279,False,71973906,396555.0,119,,4,2.0,2765,256,,2,0,37,49,736208,4
9282,False,71976340,190000.0,132,,4,1.0,1700,100,,0,0,1,304,736208,3
9284,False,71977140,735000.0,26,,4,2.5,3240,62,,2,0,3,257,736208,5
9287,False,71980953,525000.0,100,,2,1.0,1231,108,,1,0,2,91,736208,4
9290,False,71983551,440000.0,306,,3,2.0,2064,53,,1,0,1,121,736208,3
9293,False,71989007,650000.0,92,,4,3.5,3635,27,,4,0,178,70,736208,4
9294,False,71991167,850000.0,100,,4,3.5,2748,83,,2,0,3,4,736208,4
9305,False,71999133,271900.0,56,,3,1.0,1620,137,,1,0,1,370,736208,3
9307,False,71999948,308000.0,77,,5,1.5,1902,68,,2,0,1,274,736208,2
9308,False,72000467,450409.0,103,,5,2.5,3955,98,,2,0,3,355,736208,4
9309,False,72001334,263000.0,122,,3,1.0,1188,56,,1,0,6,283,736208,2
9313,False,72002652,740000.0,94,,4,3.0,3214,228,,1,0,51,223,736208,2
9314,False,72003212,2252000.0,2,,6,4.5,4474,55,,2,0,3,82,736208,3
9315,False,72003228,1411000.0,40,,6,4.5,5578,138,,4,0,3,254,736208,3
9316,False,72004085,295000.0,62,,4,2.5,2560,13,,2,0,3,324,736208,1
9318,False,72004600,555000.0,82,,5,3.0,2210,60,,0,0,1,89,736208,4
9321,False,72005345,502000.0,26,,3,1.5,1626,27,,0,0,59,238,736208,3
9322,False,72005562,285000.0,81,,2,1.0,1351,127,,0,0,562,71,736208,4
9326,False,72007000,585000.0,78,,4,4.0,4235,49,,3,0,3,313,736208,4
9327,False,72009094,540000.0,50,,4,4.0,2618,61,,2,0,27,253,736208,3
9328,False,72009099,351000.0,82,,4,2.5,2035,78,,2,0,3,279,736208,4
9329,False,72009156,625000.0,62,,4,2.5,2300,108,,0,0,85,38,736208,2
9330,False,72009296,600000.0,62,,3,2.5,2100,11,,0,0,0,4,736208,3
9331,False,72010896,205000.0,71,,3,2.0,1008,20,,0,0,7,168,736208,4
9334,False,72011459,149000.0,70,,2,1.0,1040,118,,0,0,62,305,736208,3
9336,False,72012123,600000.0,40,,3,3.5,3520,18,,2,0,34,313,736208,5
9337,False,72012367,820000.0,62,,4,4.0,3436,4,,2,0,72,49,736208,9
9339,False,72013159,108000.0,74,,1,1.0,267,66,,0,0,0,124,736208,2
9340,False,72013244,400000.0,66,,4,2.5,2614,12,,0,0,3,285,736208,7
9342,False,72013558,175000.0,39,,2,2.0,1144,18,,1,0,6,324,736208,4
9343,False,72013560,295000.0,7,,3,1.0,1356,63,,1,0,6,207,736208,3
9344,False,72013731,440000.0,58,,5,3.5,2782,16,,0,0,3,205,736208,3
9345,False,72013924,600000.0,36,,3,1.5,1116,168,,0,0,14,253,736208,3
9347,False,72014467,416000.0,35,,4,2.5,2554,15,,0,0,3,207,736208,1
9349,False,72016081,679900.0,4,,3,2.5,3180,25,,2,0,3,230,736208,2
9350,False,72016238,213000.0,61,,2,2.0,925,59,,0,0,6,190,736208,2
9351,False,72016450,224000.0,55,,2,1.0,746,66,,1,0,6,209,736208,3
9355,False,72018850,725000.0,56,,4,3.0,3065,20,,2,0,43,244,736208,6
9357,False,72019185,685000.0,52,,3,2.5,2953,12,,2,0,12,236,736208,3
9358,False,72019318,405000.0,5,,3,2.5,1506,148,,0,0,85,256,736208,3
9362,False,72020097,195000.0,54,,3,1.0,794,83,,0,0,6,154,736208,3
9364,False,72020424,165000.0,32,,2,1.5,1088,31,,0,0,0,305,736208,6
9365,False,72020485,680000.0,62,,4,3.0,3032,31,,3,0,3,279,736208,3
9366,False,72020637,377500.0,52,,3,2.0,1455,71,,0,0,1,295,736208,2
9369,False,72022677,435000.0,14,,3,1.5,1704,88,,0,0,3,254,736208,4
9370,False,72023171,529000.0,4,,2,2.5,2200,12,,2,0,12,236,736208,3
9372,False,72024240,385000.0,35,,4,2.5,1830,61,,0,0,3,46,736208,3
9373,False,72024470,790000.0,13,,3,2.5,1824,65,,2,0,1,88,736208,3
9374,False,72025250,279000.0,33,,3,1.5,1056,38,,0,0,6,99,736208,4
9375,False,72025483,257000.0,45,,2,1.0,1040,93,,1,0,2,284,736208,3
9377,False,72025908,317000.0,18,,3,2.0,1498,43,,1,0,6,98,736208,7
9379,False,72026804,548500.0,18,,4,2.5,2111,31,,2,0,21,261,736208,3
9380,False,72027065,385000.0,28,,3,2.0,1800,143,,0,0,3,252,736208,6
9383,False,72027906,405000.0,40,,3,2.5,1994,2,,2,0,3,349,736208,4
9384,False,72027939,305000.0,40,,3,1.5,1152,103,,1,0,3,207,736208,4
9385,False,72027995,512000.0,4,,3,2.5,1646,21,,2,0,3,213,736208,4
9387,False,72028546,755000.0,40,,4,2.5,2852,47,,2,0,3,223,736208,3
9388,False,72028605,545000.0,41,,3,1.5,1839,70,,2,0,3,280,736208,7
9389,False,72029061,370000.0,34,,3,1.5,1248,103,,0,0,1,221,736208,4
9394,False,72030479,355500.0,20,,3,1.5,1590,55,,0,0,6,289,736208,4
9396,False,72031493,385000.0,33,,3,1.0,1500,42,,0,0,7,261,736208,3
9398,False,72031714,420000.0,32,,3,2.0,2072,148,,0,0,3,215,736208,3
9399,False,72031803,310000.0,32,,3,1.5,1881,98,,1,0,564,97,736208,4
9402,False,72033040,274900.0,18,,3,1.5,1288,138,,0,0,3,295,736208,6
9403,False,72033625,650000.0,6,,5,3.5,3443,28,,3,0,3,105,736208,2
9404,False,72033691,430000.0,27,,3,1.5,1566,60,,1,0,163,241,736208,5
9405,False,72033977,398000.0,26,,4,2.0,2062,64,,0,0,1,211,736208,3
9406,False,72034448,989000.0,16,,4,4.0,2987,22,,1,0,3,3,736208,5
9408,False,72034491,494000.0,26,,3,2.0,1636,62,,0,0,3,87,736208,4
9410,False,72035828,880000.0,9,,5,2.5,3617,121,,0,0,3,4,736208,6
9412,False,72036219,286000.0,26,,3,1.0,1344,33,,0,0,7,170,736208,3
9415,False,72037017,310000.0,22,,3,1.5,1330,108,,0,0,8,206,736208,4
9416,False,72037127,405500.0,17,,2,1.5,990,138,,1,0,3,8,736208,2
9417,False,72037132,405100.0,21,,4,2.5,2642,49,,2,0,3,321,736208,3
9418,False,72037152,550000.0,16,,2,2.0,1712,10,,1,0,6,294,736208,3
9420,False,72037325,418000.0,19,,3,2.0,1708,78,,1,0,0,239,736208,3
9421,False,72037554,550000.0,21,,3,1.0,1184,68,,1,0,6,631,736208,2
