,PRE-FLIP-MLS,POST-FLIP-MLS,PRE-FLIP-SOLD-DATE,POST-FLIP-SOLD-DATE,PRE-SOLD-PRICE,POST-SOLD-PRICE,PROFIT
1261,72048275.0,72048276.0,11/23/2016,12/2/2016,360000.0,363000.0,3000
1262,72048334.0,72223154.0,9/22/2016,11/30/2017,369900.0,420000.0,50100
1263,72048351.0,72156889.0,10/5/2016,6/30/2017,275000.0,314900.0,39900
1264,72048374.0,72159120.0,11/23/2016,7/6/2017,920000.0,1330000.0,410000
1265,72048714.0,72230916.0,9/9/2016,2/9/2018,186000.0,189000.0,3000
1266,72048900.0,72105024.0,9/30/2016,3/8/2017,530100.0,550000.0,19900
1267,72048990.0,72093603.0,9/16/2016,2/15/2017,350000.0,502500.0,152500
1268,72049233.0,72157348.0,9/15/2016,6/9/2017,263826.0,508500.0,244674
1269,71935489.0,72049264.0,2/18/2016,1/13/2017,250000.0,675000.0,425000
1270,72049371.0,72258129.0,2/28/2017,2/28/2018,470000.0,787500.0,317500
1271,72049412.0,72153868.0,11/8/2016,6/9/2017,420000.0,630000.0,210000
1272,72049485.0,72242424.0,11/1/2016,12/15/2017,509900.0,565000,55100
1273,72049604.0,72101605.0,9/23/2016,2/17/2017,128000.0,257500.0,129500
1274,72049640.0,72214818.0,9/23/2016,2/1/2018,825000.0,1965000.0,1140000
1275,72049707.0,72268689.0,11/7/2016,2/21/2018,400000.0,825000.0,425000
1276,72049753.0,72089983.0,9/19/2016,2/24/2017,136500.0,407000.0,270500
1277,72049850.0,72269349.0,9/30/2016,3/8/2018,367500.0,399000.0,31500
1278,72050171.0,72245927.0,9/16/2016,1/2/2018,72500.0,169000.0,96500
1279,71939550.0,72050258.0,1/15/2016,9/30/2016,225000.0,644900.0,419900
1280,72050263.0,72242519.0,1/17/2017,1/18/2018,385000.0,1035000.0,650000
1281,72050300.0,72186578.0,2/17/2017,8/29/2017,199000.0,361000.0,162000
1282,72050334.0,72161450.0,12/20/2016,7/14/2017,304000.0,491500.0,187500
1283,72050412.0,72178772.0,10/27/2016,7/31/2017,260000.0,434900.0,174900
1284,72050495.0,72262375.0,9/20/2016,2/27/2018,422500.0,425500.0,3000
1285,72050607.0,72231410.0,10/7/2016,12/22/2017,310000.0,705000,395000
1286,71986684.0,72050628.0,5/25/2016,9/28/2016,175000.0,147000.0,-28000
1287,72050633.0,72192216.0,9/15/2016,8/28/2017,145000.0,264900.0,119900
1288,71980991.0,72050695.0,6/6/2016,9/16/2016,480000.0,470000.0,-10000
1289,71979800.0,72050727.0,5/26/2016,12/1/2016,95100.0,190000.0,94900
1290,72051072.0,72120200.0,10/7/2016,4/21/2017,323000.0,345000.0,22000
1291,72051374.0,72276000.0,1/31/2017,3/28/2018,114000.0,300000.0,186000
1292,72051411.0,72212624.0,9/26/2016,9/29/2017,65000.0,255000.0,190000
1293,72051515.0,72226342.0,10/6/2016,10/23/2017,335000.0,349900.0,14900
1294,71938573.0,72051675.0,2/5/2016,11/10/2016,115100.0,257500.0,142400
1295,71998803.0,72051719.0,6/7/2016,10/24/2016,362500.0,514500.0,152000
1296,71961949.0,72051850.0,6/30/2016,10/7/2016,224974.0,315000.0,90026
1297,72051984.0,72125253.0,10/6/2016,5/3/2017,180000.0,279000.0,99000
1298,71948067.0,72052046.0,6/6/2016,10/21/2016,185000.0,300000.0,115000
1299,72052145.0,72215045.0,1/19/2017,10/21/2017,155121.0,299121.0,144000
1300,71953290.0,72052181.0,3/18/2016,9/29/2016,615000.0,1100000.0,485000
1301,72052224.0,72164256.0,1/13/2017,8/9/2017,175000.0,290000.0,115000
1302,72052351.0,72135734.0,9/20/2016,5/18/2017,220000.0,222000.0,2000
1303,72052452.0,72165657.0,3/8/2017,7/27/2017,145000.0,268000.0,123000
1304,72052677.0,72092499.0,9/30/2016,3/15/2017,410000.0,683000.0,273000
1305,72052743.0,72150579.0,10/7/2016,6/28/2017,375000.0,775000.0,400000
1306,72052746.0,72105665.0,10/14/2016,3/3/2017,215000.0,345000.0,130000
1307,71972581.0,72052758.0,5/27/2016,10/18/2016,65000.0,175000.0,110000
1308,72052816.0,72176075.0,8/10/2016,8/28/2017,259900.0,250000.0,-9900
1309,72052820.0,72155833.0,11/1/2016,6/23/2017,315000.0,480000.0,165000
1310,72052975.0,72136965.0,11/18/2016,6/1/2017,179000.0,369000.0,190000
1311,72053119.0,72279203.0,9/30/2016,3/23/2018,297500.0,312500.0,15000
1312,72053137.0,72217516.0,9/14/2016,10/16/2017,303000.0,678000.0,375000
1313,72053346.0,72167875.0,10/26/2016,9/8/2017,265000.0,316000.0,51000
1314,71998231.0,72053432.0,6/24/2016,5/30/2017,2050000.0,3899000.0,1849000
1315,72053554.0,72211741.0,1/11/2017,12/14/2017,149900.0,260000,110100
1316,72053648.0,72087218.0,10/18/2016,5/26/2017,240000.0,240000.0,0
1317,72053656.0,72254756.0,1/24/2017,2/1/2018,84000.0,216000.0,132000
1318,72053745.0,72190631.0,6/5/2017,8/4/2017,142000.0,190000.0,48000
1319,71890079.0,72053773.0,3/7/2016,10/18/2016,115000.0,195000.0,80000
1320,72053927.0,72253932.0,3/3/2017,1/18/2018,201649.0,325000.0,123351
1321,72030672.0,72053932.0,10/7/2016,1/26/2017,865000.0,560000.0,-305000
1322,72053999.0,72072671.0,9/2/2016,12/5/2016,186500.0,245000.0,58500
1323,72054115.0,72102904.0,9/30/2016,2/10/2017,161700.0,260000.0,98300
1324,71943037.0,72054134.0,2/29/2016,11/28/2016,396354.0,600000.0,203646
1325,72054288.0,72099569.0,9/15/2016,1/30/2017,175000.0,340000.0,165000
1326,72054353.0,72252109.0,10/17/2016,12/20/2017,285000.0,475000,190000
1327,71840890.0,72054405.0,3/15/2016,11/4/2016,180000.0,758000.0,578000
1328,72054411.0,72133846.0,12/21/2016,4/28/2017,176000.0,325000.0,149000
1329,72054413.0,72117218.0,11/17/2016,5/1/2017,162000.0,255000.0,93000
1330,71880575.0,72054428.0,5/23/2016,1/17/2017,60000.0,157500.0,97500
1331,72054507.0,72252951.0,12/16/2016,2/28/2018,130000.0,445000.0,315000
1332,72054655.0,72183982.0,11/18/2016,7/31/2017,194900.0,230000.0,35100
1333,71948428.0,72054696.0,2/26/2016,1/27/2017,165000.0,275000.0,110000
1334,71960975.0,72054707.0,5/20/2016,10/17/2016,129900.0,233000.0,103100
1335,72054733.0,72245863.0,12/30/2016,1/31/2018,34510.0,148000.0,113490
1336,72054741.0,72141795.0,11/23/2016,5/26/2017,450000.0,589000.0,139000
1337,72054825.0,72163366.0,1/13/2017,9/29/2017,155000.0,325000.0,170000
1338,71849893.0,72054856.0,6/2/2016,3/15/2017,119500.0,195000.0,75500
1339,72055077.0,72240278.0,10/20/2016,12/18/2017,101440.0,244000,142560
1340,72055252.0,72168513.0,10/17/2016,8/7/2017,266111.0,470000.0,203889
1341,72055278.0,72259445.0,10/11/2016,1/19/2018,950000.0,1575000.0,625000
1342,72055338.0,72181516.0,1/13/2017,8/2/2017,210000.0,409900.0,199900
1343,71999477.0,72055389.0,8/12/2016,12/29/2016,175000.0,218000.0,43000
1344,72055403.0,72100098.0,9/14/2016,2/16/2017,225000.0,355000.0,130000
1345,71986368.0,72055424.0,6/16/2016,1/20/2017,142000.0,202100.0,60100
1346,72055543.0,72086547.0,9/28/2016,12/16/2016,290000.0,425000.0,135000
1347,72055615.0,72145224.0,9/30/2016,5/30/2017,51000.0,184000.0,133000
1348,72055812.0,72186746.0,2/10/2017,8/21/2017,138250.0,294000.0,155750
1349,72056003.0,72113396.0,10/31/2016,3/23/2017,310000.0,460000.0,150000
1350,72056057.0,72267631.0,10/7/2016,3/9/2018,295000.0,314000.0,19000
1351,72056074.0,72208694.0,9/27/2016,11/30/2017,125000.0,406000.0,281000
1352,72056090.0,72099943.0,10/6/2016,5/8/2017,365000.0,592000.0,227000
1353,72056173.0,72123679.0,11/7/2016,4/20/2017,152000.0,280000.0,128000
1354,71933442.0,72056229.0,1/22/2016,12/22/2016,161000.0,285000.0,124000
1355,72056358.0,72173416.0,4/4/2017,7/28/2017,60000.0,150000.0,90000
1356,72030494.0,72056474.0,8/15/2016,1/3/2017,367719.0,350000.0,-17719
1357,71980946.0,72056482.0,5/23/2016,10/27/2016,397000.0,715000.0,318000
1358,72056519.0,72143397.0,9/30/2016,5/31/2017,175500.0,288000.0,112500
